e,M,M_label,method,root,iterations,residual,absolute_error,converged
0.3,1.5707963267948966,pi/2,Bisection,1.8584684113648275,24,7.471048224516608e-10,6.885021441860317e-10,True
0.3,1.5707963267948966,pi/2,Regula Falsi,1.8584684107302134,3,1.4357348643301293e-09,1.3231162832028076e-09,True
0.3,1.5707963267948966,pi/2,Newton-Raphson,1.8584684120534474,3,1.27675647831893e-13,1.176836406102666e-13,True
0.35,1.5707963267948966,pi/2,Bisection,1.9017974356797078,23,4.620146043521345e-09,4.148292376271456e-09,True
0.35,1.5707963267948966,pi/2,Regula Falsi,1.901797431874187,3,8.858531463928898e-09,7.953813163652512e-09,True
0.35,1.5707963267948966,pi/2,Newton-Raphson,1.901797439828763,3,8.495426584431698e-13,7.627232179174825e-13,True
0.4,1.5707963267948966,pi/2,Bisection,1.943355826535497,23,4.4775674279406985e-09,3.90849042020136e-09,True
0.4,1.5707963267948966,pi/2,Regula Falsi,1.943355822468691,4,1.813662553473705e-10,1.5831558286549807e-10,True
0.4,1.5707963267948966,pi/2,Newton-Raphson,1.9433558226304564,3,3.951949878455707e-12,3.4496849821152864e-12,True
0.45,1.5707963267948966,pi/2,Bisection,1.9830884645369395,24,1.635126256616104e-09,1.3853247438078142e-09,True
0.45,1.5707963267948966,pi/2,Regula Falsi,1.983088462314953,4,9.875282813709418e-10,8.366618509114687e-10,True
0.45,1.5707963267948966,pi/2,Newton-Raphson,1.9830884631633887,3,1.389732773304786e-11,1.1773915176149785e-11,True
0.5,1.5707963267948966,pi/2,Bisection,2.0209799418833594,25,4.618943005851861e-09,3.793589442580014e-09,True
0.5,1.5707963267948966,pi/2,Regula Falsi,2.0209799345867063,4,4.265209518905522e-09,3.5030636169608442e-09,True
0.5,1.5707963267948966,pi/2,Newton-Raphson,2.020979938121798,3,3.8996139650748773e-11,3.2028157903596366e-11,True
0.55,1.5707963267948966,pi/2,Bisection,2.0570465842869616,20,3.895617162186227e-11,3.099076550938662e-11,True
0.55,1.5707963267948966,pi/2,Regula Falsi,2.0570465841717613,5,1.8376544730358546e-10,1.4619105925817166e-10,True
0.55,1.5707963267948966,pi/2,Newton-Raphson,2.0570465843902275,3,9.085132646191596e-11,7.227507481388784e-11,True
0.6,1.5707963267948966,pi/2,Bisection,2.0913289646294464,25,1.8222712228066484e-09,1.4034688966546582e-09,True
0.6,1.5707963267948966,pi/2,Regula Falsi,2.0913289654771514,5,7.216065522896997e-10,5.55763879361848e-10,True
0.6,1.5707963267948966,pi/2,Newton-Raphson,2.0913289661723655,3,1.8106316446164783e-10,1.3945022914185756e-10,True
0.65,1.5707963267948966,pi/2,Bisection,2.123885197439465,24,6.802634899827353e-09,5.071080444452036e-09,True
0.65,1.5707963267948966,pi/2,Regula Falsi,2.1238851905707423,5,2.4114592545032565e-09,1.797642035228364e-09,True
0.65,1.5707963267948966,pi/2,Newton-Raphson,2.1238851926038698,3,3.1589331150883027e-10,2.354854089503533e-10,True
0.7,1.5707963267948966,pi/2,Bisection,2.154785295822893,26,3.771238432648261e-09,2.7210509401243144e-09,True
0.7,1.5707963267948966,pi/2,Regula Falsi,2.1547852880307756,5,7.028241100215382e-09,5.071066233597321e-09,True
0.7,1.5707963267948966,pi/2,Newton-Raphson,2.154785293456326,3,4.91296558990939e-10,3.5448399771098593e-10,True
0.75,1.5707963267948966,pi/2,Bisection,2.1841066862132887,25,9.613523754836706e-09,6.7148397953076255e-09,True
0.75,1.5707963267948966,pi/2,Regula Falsi,2.184106679148303,6,5.012981141305772e-10,3.501461343091705e-10,True
0.75,1.5707963267948966,pi/2,Newton-Raphson,2.184106679981146,3,6.910694239081749e-10,4.826969934867975e-10,True
0.8,1.5707963267948966,pi/2,Bisection,2.211930612721715,25,4.602918490803631e-09,3.11326919799626e-09,True
0.8,1.5707963267948966,pi/2,Regula Falsi,2.211930608685954,6,1.3638894458267714e-09,9.2249186067761e-10,True
0.8,1.5707963267948966,pi/2,Newton-Raphson,2.211930610210042,3,8.894502911971358e-10,6.015961062644237e-10,True
0.85,1.5707963267948966,pi/2,Bisection,2.238339528688465,26,6.270926222740059e-09,4.108850593098623e-09,True
0.85,1.5707963267948966,pi/2,Regula Falsi,2.238339522390783,6,3.3405938015818037e-09,2.188831338401087e-09,True
0.85,1.5707963267948966,pi/2,Newton-Raphson,2.238339525272413,3,1.0573488751219884e-09,6.927987072913311e-10,True
0.9,1.5707963267948966,pi/2,Bisection,2.263415100672517,26,8.951260621614665e-09,5.684425374852253e-09,True
0.9,1.5707963267948966,pi/2,Regula Falsi,2.2634151016187514,6,7.461226525506959e-09,4.738191172748429e-09,True
0.9,1.5707963267948966,pi/2,Newton-Raphson,2.2634151070997954,3,1.169769392461717e-09,7.428528903119513e-10,True
0.95,1.5707963267948966,pi/2,Bisection,2.287236911677991,27,1.3248158126089038e-09,8.158389519508091e-10,True
0.95,1.5707963267948966,pi/2,Regula Falsi,2.2872369120622804,7,7.007801006153613e-10,4.315494628315264e-10,True
0.95,1.5707963267948966,pi/2,Newton-Raphson,2.287236913240035,3,1.2117398195954365e-09,7.462053197571095e-10,True
